ticket_id,customer_id,customer_name,channel,issue_category,priority,agent_name,city,created_date,resolved_date,first_response_minutes,resolution_time_hours,ticket_status,csat_score,refund_amount_sar
TCK-000001,CUST-14562,Yousef Al-Anazi,Phone,General Inquiry,Medium,Turki Al-Subaie,Jeddah,07-06-2024,10-06-2024,222,88.4,Resolved,3,0.00
TCK-000002,CUST-10776,Dana Al-Otaibi,Live Chat,Billing,Low,Mohammed Al-Harbi,Mecca,22-11-2025,Not Resolved,459,0.0,Escalated,0,0.00
TCK-000003,CUST-67589,Bandar Al-Dossari,Branch,Technical Support,Medium,Sara Al-Dossari,Riyadh,21-03-2024,25-03-2024,177,103.3,Resolved,4,0.00
TCK-000004,CUST-84384,Nasser Al-Qahtani,Phone,Billing,Low,Abdullah Al-Zahrani,Dammam,03-03-2024,04-03-2024,522,30.7,Resolved,1,0.00
TCK-000005,CUST-28922,Yousef Al-Dossari,WhatsApp,General Inquiry,Medium,Noura Al-Shammari,Riyadh,31-07-2026,Not Resolved,138,0.0,Pending,0,0.00
TCK-000006,CUST-75481,Mohammed Al-Dossari,Email,Billing,Medium,Mohammed Al-Harbi,Riyadh,13-02-2026,16-02-2026,262,90.6,Resolved,2,491.91
TCK-000007,CUST-49130,Sara Al-Ghamdi,Live Chat,Technical Support,Low,Maha Al-Balawi,Riyadh,28-06-2026,06-07-2026,628,215.9,Resolved,1,0.00
TCK-000008,CUST-49642,Turki Al-Harbi,Live Chat,Technical Support,Low,Reem Al-Mutairi,Jeddah,18-02-2026,21-02-2026,568,72.9,Resolved,5,0.00
TCK-000009,CUST-49485,Ahmed Al-Balawi,WhatsApp,Technical Support,High,Turki Al-Subaie,Jeddah,01-04-2026,01-04-2026,27,13.6,Closed,5,0.00
TCK-000010,CUST-68995,Nasser Al-Zahrani,Branch,Refund Request,Critical,Maha Al-Balawi,Jeddah,28-04-2026,Not Resolved,27,0.0,Open,0,0.00
TCK-000011,CUST-26842,Dana Al-Dossari,Branch,General Inquiry,Low,Noura Al-Shammari,Jeddah,04-07-2024,Not Resolved,34,0.0,Pending,0,0.00
TCK-000012,CUST-75844,Khalid Al-Ghamdi,Live Chat,Billing,Medium,Mohammed Al-Harbi,Jeddah,10-03-2026,12-03-2026,35,60.9,Resolved,5,0.00
TCK-000013,CUST-51659,Sara Al-Shammari,Live Chat,Billing,High,Noura Al-Shammari,Medina,02-05-2026,Not Resolved,49,0.0,Pending,0,0.00
TCK-000014,CUST-77706,Turki Al-Anazi,Live Chat,Billing,Low,Khalid Al-Ghamdi,Khobar,15-02-2025,20-02-2025,362,130.0,Resolved,5,0.00
TCK-000015,CUST-83065,Noura Al-Harbi,Email,Refund Request,Critical,Lama Al-Rashidi,Khobar,04-07-2026,Not Resolved,23,0.0,Open,0,0.00
TCK-000016,CUST-47094,Yousef Al-Shammari,Phone,Account Management,High,Lama Al-Rashidi,Medina,06-03-2025,Not Resolved,51,0.0,Open,0,0.00
TCK-000017,CUST-15094,Abdullah Al-Rashidi,Phone,Refund Request,Low,Huda Al-Anazi,Dammam,21-03-2026,23-03-2026,467,57.8,Closed,4,0.00
TCK-000018,CUST-34567,Yousef Al-Shehri,Social Media,Delivery Issue,Medium,Yousef Al-Malki,Hail,09-01-2024,09-01-2024,200,7.5,Resolved,5,0.00
TCK-000019,CUST-62263,Faisal Al-Dossari,Phone,General Inquiry,Low,Huda Al-Anazi,Buraidah,24-05-2026,24-05-2026,102,22.3,Closed,5,0.00
TCK-000020,CUST-53422,Huda Al-Ghamdi,Email,Billing,Low,Khalid Al-Ghamdi,Riyadh,14-08-2024,23-08-2024,138,228.7,Resolved,3,0.00
TCK-000021,CUST-26532,Mohammed Al-Anazi,WhatsApp,Account Management,Medium,Reem Al-Mutairi,Dammam,04-04-2026,06-04-2026,223,65.1,Resolved,5,0.00
TCK-000022,CUST-92042,Fahad Al-Anazi,Email,Account Management,Low,Abdullah Al-Zahrani,Tabuk,18-03-2026,26-03-2026,610,199.6,Resolved,5,0.00
TCK-000023,CUST-90414,Reem Al-Shammari,Phone,Delivery Issue,Medium,Abdullah Al-Zahrani,Riyadh,06-10-2026,Not Resolved,173,0.0,Open,0,0.00
TCK-000024,CUST-76840,Mohammed Al-Rashidi,Email,Complaint,Medium,Yousef Al-Malki,Jeddah,18-09-2026,22-09-2026,159,117.5,Closed,4,0.00
TCK-000025,CUST-23832,Dana Al-Balawi,Live Chat,Account Management,Low,Turki Al-Subaie,Riyadh,16-05-2024,Not Resolved,105,0.0,Escalated,0,0.00
TCK-000026,CUST-28170,Dana Al-Dossari,Email,Refund Request,High,Huda Al-Anazi,Khobar,23-08-2024,24-08-2024,56,31.9,Closed,4,0.00
TCK-000027,CUST-33703,Maha Al-Balawi,Email,Refund Request,High,Fahad Al-Otaibi,Khobar,17-01-2025,17-01-2025,11,3.6,Resolved,2,0.00
TCK-000028,CUST-23253,Turki Al-Otaibi,Phone,Billing,Low,Faisal Al-Shehri,Jeddah,23-04-2024,Not Resolved,58,0.0,Pending,0,0.00
TCK-000029,CUST-44561,Faisal Al-Subaie,Live Chat,Refund Request,High,Yousef Al-Malki,Medina,02-09-2026,02-09-2026,27,7.6,Resolved,3,49.16
TCK-000030,CUST-71107,Sultan Al-Harbi,Live Chat,Billing,Medium,Yousef Al-Malki,Buraidah,03-12-2025,04-12-2025,106,33.7,Closed,4,0.00
TCK-000031,CUST-73847,Sara Al-Dossari,Live Chat,General Inquiry,High,Noura Al-Shammari,Tabuk,27-03-2025,Not Resolved,15,0.0,Pending,0,0.00
TCK-000032,CUST-41879,Sultan Al-Dossari,Branch,Account Management,Medium,Khalid Al-Ghamdi,Jeddah,23-08-2025,23-08-2025,206,4.2,Resolved,5,0.00
TCK-000033,CUST-32233,Sultan Al-Harbi,Live Chat,General Inquiry,High,Khalid Al-Ghamdi,Jeddah,09-01-2025,Not Resolved,69,0.0,Pending,0,0.00
TCK-000034,CUST-74771,Aisha Al-Rashidi,Live Chat,Account Management,High,Khalid Al-Ghamdi,Abha,18-04-2024,19-04-2024,40,39.0,Closed,4,0.00
